school,test_optional,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
University of Arizona,True,40854,0.846,1120.0,1350.0,21.0,29.0
Susquehanna University,True,4863,0.848,1100.0,1290.0,22.0,28.0
Arizona State University—​Tempe,True,26869,0.848,1130.0,1360.0,22.0,29.0
Wheaton College (IL),True,1889,0.848,1220.0,1440.0,26.0,32.0
Northern Arizona,True,36855,0.85,1030.0,1230.0,19.0,25.0
Washington and Jefferson College,True,2722,0.852,1090.0,1280.0,22.0,28.0
Kent State,True,16308,0.855,1040.0,1230.0,20.0,26.0
Mills College,True,1003,0.855,1008.0,1240.0,21.0,29.0
Hope College,True,3748,0.857,1130.0,1330.0,23.0,31.0
Valparaiso University,True,5491,0.858,1070.0,1290.0,22.0,29.0
George Mason University,True,19554,0.867,1110.0,1320.0,24.0,30.0
Old Dominion,True,13335,0.87,990.0,1200.0,18.0,24.0
Missouri State,True,7581,0.879,1040.0,1240.0,21.0,27.0
University of Wisconsin Milwaukee,True,8280,0.885,1000.0,1398.0,20.0,25.0
Transylvania University,True,1702,0.887,1100.0,1310.0,24.0,30.0
